Date,Time,Minute,Sleep
2023-11-30,18:02:00.0,02,Sleep Movement
2023-11-30,18:03:00.0,03,Sleep Movement
2023-11-30,18:04:00.0,04,Sleep Movement
2023-11-30,18:05:00.0,05,Sleep Movement
2023-11-30,18:06:00.0,06,Sleep Movement
2023-11-30,18:07:00.0,07,Sleep Movement
2023-11-30,18:08:00.0,08,Sleep Movement
2023-11-30,18:09:00.0,09,Sleep Movement
2023-11-30,18:10:00.0,10,Sleep Movement
2023-11-30,18:11:00.0,11,Sleep Movement
2023-11-30,18:12:00.0,12,Sleep Movement
2023-11-30,18:13:00.0,13,Sleep Movement
2023-11-30,18:14:00.0,14,Sleep Movement
2023-11-30,18:15:00.0,15,Sleep Movement
2023-11-30,18:16:00.0,16,Sleep Movement
2023-11-30,18:17:00.0,17,Sleep Movement
2023-11-30,18:18:00.0,18,Sleep Movement
2023-11-30,18:19:00.0,19,Sleep Movement
2023-11-30,18:20:00.0,20,Sleep Movement
2023-11-30,18:21:00.0,21,Sleep Movement
2023-11-30,18:22:00.0,22,Sleep Movement
2023-11-30,18:23:00.0,23,Sleep Movement
2023-11-30,18:24:00.0,24,Sleep Movement
2023-11-30,18:25:00.0,25,Sleep Movement
2023-11-30,18:26:00.0,26,Sleep Movement
2023-11-30,18:27:00.0,27,Sleep Movement
2023-11-30,18:28:00.0,28,Sleep Movement
2023-11-30,18:29:00.0,29,Sleep Movement
2023-11-30,18:30:00.0,30,Sleep Movement
2023-11-30,18:31:00.0,31,Sleep Movement
2023-11-30,18:32:00.0,32,Sleep Movement
2023-11-30,18:33:00.0,33,Sleep Movement
2023-11-30,18:34:00.0,34,Sleep Movement
2023-11-30,18:35:00.0,35,Sleep Movement
2023-11-30,18:36:00.0,36,Sleep Movement
2023-11-30,18:37:00.0,37,Sleep Movement
2023-11-30,18:38:00.0,38,Sleep Movement
2023-11-30,18:39:00.0,39,Sleep Movement
2023-11-30,18:40:00.0,40,Sleep Movement
2023-11-30,18:41:00.0,41,Sleep Movement
2023-11-30,18:42:00.0,42,Sleep Movement
2023-11-30,18:43:00.0,43,Sleep Movement
2023-11-30,18:44:00.0,44,Sleep Movement
2023-11-30,18:45:00.0,45,Sleep Movement
2023-11-30,18:46:00.0,46,Sleep Movement
2023-11-30,18:47:00.0,47,Sleep Movement
2023-11-30,18:48:00.0,48,Sleep Movement
2023-11-30,18:49:00.0,49,Sleep Movement
2023-11-30,18:50:00.0,50,Sleep Movement
2023-11-30,18:51:00.0,51,Sleep Movement
2023-11-30,18:52:00.0,52,Sleep Movement
2023-11-30,18:53:00.0,53,Sleep Movement
2023-11-30,18:54:00.0,54,Sleep Movement
